@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute width-1 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1456,'2018/12/11 19:00:02:473',5,19.031071,2
1457,'2018/12/11 19:00:02:506',5,18.974205,2
1458,'2018/12/11 19:00:02:540',5,18.99692,2
1459,'2018/12/11 19:00:02:574',5,19.111387,2
1460,'2018/12/11 19:00:02:607',5,19.194042,2
1461,'2018/12/11 19:00:02:639',5,19.330248,2
1462,'2018/12/11 19:00:02:673',5,19.339411,2
1463,'2018/12/11 19:00:02:706',5,19.288645,2
1464,'2018/12/11 19:00:02:740',5,19.135582,2
1465,'2018/12/11 19:00:02:772',5,19.289099,2
1466,'2018/12/11 19:00:02:808',5,19.135309,2
1467,'2018/12/11 19:00:02:841',5,19.09441,2
1468,'2018/12/11 19:00:02:874',5,19.189243,2
1469,'2018/12/11 19:00:02:908',5,19.281008,2
1470,'2018/12/11 19:00:02:942',5,19.240976,2
1471,'2018/12/11 19:00:02:975',5,19.228662,2
1472,'2018/12/11 19:00:03:009',5,19.341368,2
1473,'2018/12/11 19:00:03:041',5,19.400837,2
1474,'2018/12/11 19:00:03:076',5,19.345619,2
1475,'2018/12/11 19:00:03:125',5,19.410292,2
1476,'2018/12/11 19:00:03:159',5,19.348803,2
1477,'2018/12/11 19:00:03:192',5,19.435034,2
1478,'2018/12/11 19:00:03:205',5,19.34197,2
1479,'2018/12/11 19:00:03:241',5,19.476675,2
1480,'2018/12/11 19:00:03:276',5,19.368214,2
1481,'2018/12/11 19:00:03:308',5,19.335402,2
1482,'2018/12/11 19:00:03:357',5,19.456951,2
1483,'2018/12/11 19:00:03:392',5,19.401703,2
1484,'2018/12/11 19:00:03:424',5,19.45051,2
1485,'2018/12/11 19:00:03:459',5,19.346909,2
1486,'2018/12/11 19:00:03:492',5,19.455099,2
1487,'2018/12/11 19:00:03:526',5,19.526396,2
1488,'2018/12/11 19:00:03:560',5,19.499313,2
1489,'2018/12/11 19:00:03:592',5,19.47282,2
1490,'2018/12/11 19:00:03:625',5,19.417177,2
1491,'2018/12/11 19:00:03:660',5,19.420656,2
1492,'2018/12/11 19:00:03:694',5,19.580297,2
1493,'2018/12/11 19:00:03:706',5,19.556854,2
1494,'2018/12/11 19:00:03:739',5,19.40871,2
1495,'2018/12/11 19:00:03:776',5,19.521408,2
1496,'2018/12/11 19:00:03:809',5,19.482,2
1497,'2018/12/11 19:00:03:859',5,19.44565,2
1498,'2018/12/11 19:00:03:892',5,19.437654,2
1499,'2018/12/11 19:00:03:921',5,19.476299,2
1500,'2018/12/11 19:00:03:955',5,19.447327,2
1501,'2018/12/11 19:00:03:992',5,19.519377,2
